dataset,method,runtime,NMI,ARI,F1,Purity,Q,NMI_std,ARI_std,F1_std,Purity_std,Q_std,runtime_std,k_hat,k_hat_std
Karate,Louvain,0.0271744728088378,0.5878497068250673,0.4645910984433238,0.6459330143540654,0.9705882352941176,0.4449035812672176,,,,,,,,
Karate,Leiden,0.0034873485565185,0.5878497068250673,0.4645910984433238,0.6459330143540654,0.9705882352941176,0.4449035812672176,,,,,,,,
Karate,Infomap,0.019496202468872,0.5683801456945561,0.5905528950805399,0.7644628099173537,0.9411764705882352,0.43210397106501,,,,,,,,
Karate,Greedy,0.007986307144165,0.5646068790944767,0.5684394071490846,0.7457627118644051,0.9411764705882352,0.4109649369389629,,,,,,,,
Karate,LPA,0.0020885467529296,0.5683801456945561,0.5905528950805399,0.7644628099173537,0.9411764705882352,0.43210397106501,,,,,,,,
Karate,Spectral,0.186316967010498,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.4036281179138321,,,,,,,,
Karate,N2V+KM,2.55057430267334,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.4036281179138321,,,,,,,,
Karate,PHSCD,1.6123932997385662,0.8381375013267941,0.8846279463112255,0.9406008274869564,0.9705882352941178,0.3982996320658657,0.1317667546664769,0.0932482389618845,0.0480361093858698,0.0240146053214037,0.0050935438746838,0.167458325639366,2.0,0.0
Dolphins,Louvain,0.0200414657592773,0.4837715104078087,0.3463664954369819,0.5508650519031139,0.9516129032258064,0.5188283691309679,,,,,,,,
Dolphins,Leiden,0.0061712265014648,0.5628521050819929,0.3963723129974324,0.5931972789115643,0.9838709677419356,0.5277283335311103,,,,,,,,
Dolphins,Infomap,0.0442976951599121,0.5524263987995514,0.3808919493355543,0.5788751714677637,0.9838709677419356,0.5276096673391084,,,,,,,,
Dolphins,Greedy,0.0179245471954345,0.5571350185454373,0.4658596768433242,0.6777777777777774,0.9516129032258064,0.4954906847039278,,,,,,,,
Dolphins,LPA,0.0037620067596435,0.4456861142003234,0.2742658225904895,0.473493100944081,0.967741935483871,0.491752699655868,,,,,,,,
Dolphins,Spectral,0.0262031555175781,1.0,1.0,0.9999999999999996,1.0,0.3787033740753925,,,,,,,,
Dolphins,N2V+KM,3.353595972061157,0.890405229292878,0.9350819502372428,0.9701126898579124,0.9838709677419356,0.3847751275661563,,,,,,,,
Dolphins,PHSCD,3.748481194178263,0.7762201911589882,0.832301374390071,0.9215014647524868,0.956989247311828,0.389699774534235,0.0284794871421115,0.0284236718696661,0.0135835196389084,0.0076032987224359,0.0001118795587495,0.3586009682493503,2.0,0.0
Polbooks,Louvain,0.0376210212707519,0.5558979083930046,0.6604736613846325,0.7800616649537511,0.8571428571428571,0.5269666445565376,,,,,,,,
Polbooks,Leiden,0.0160853862762451,0.5737311773317003,0.675158445542098,0.7916983042267779,0.8571428571428571,0.5269383641589667,,,,,,,,
Polbooks,Infomap,0.0367653369903564,0.5368867587813482,0.6463433878159441,0.7721712538226297,0.8476190476190476,0.5267892493354107,,,,,,,,
Polbooks,Greedy,0.0999915599822998,0.5308141953494561,0.6378969874240917,0.7778304121269539,0.8380952380952381,0.5019744859395006,,,,,,,,
Polbooks,LPA,0.0052700042724609,0.5433242921321185,0.671001418893944,0.7966467065868261,0.8571428571428571,0.5004499154159019,,,,,,,,
Polbooks,Spectral,0.0218279361724853,0.5744658804636495,0.6745101627825253,0.8058956916099772,0.8476190476190476,0.4986322571356585,,,,,,,,
Polbooks,N2V+KM,7.987568378448486,0.5474702009520273,0.6503315694060263,0.7877940833915675,0.8285714285714286,0.502660928316905,,,,,,,,
Polbooks,PHSCD,8.218945582707724,0.5778516290825567,0.6739073350588637,0.8033024339820338,0.8476190476190476,0.4881925055232474,0.0152605362989286,0.0075516106091911,0.0050608092338928,0.0077761579135973,0.0059646525366509,0.5844893706781306,3.0,0.0
Football,Louvain,0.0164954662322998,0.8505542164141608,0.7040846268620704,0.7323076923076918,0.8,0.6041836873185388,,,,,,,,
Football,Leiden,0.0343570709228515,0.8903166312052426,0.8069408992735126,0.8238341968911911,0.8695652173913043,0.6045695626834571,,,,,,,,
Football,Infomap,0.1034021377563476,0.9241952287164272,0.8966500097910517,0.9049429657794668,0.9304347826086956,0.6005165407471079,,,,,,,,
Football,Greedy,0.2818367481231689,0.697731662116437,0.4740983153122245,0.5317365269461075,0.5739130434782609,0.5497406651426807,,,,,,,,
Football,LPA,0.0059511661529541,0.9268793639543628,0.8893431553253587,0.898305084745762,0.9304347826086956,0.6010088644885554,,,,,,,,
Football,Spectral,0.1121261119842529,0.9241952287164276,0.8966500097910517,0.9049429657794668,0.9304347826086956,0.6005165407471079,,,,,,,,
Football,N2V+KM,9.284861087799072,0.9268793639543628,0.8893431553253587,0.898305084745762,0.9304347826086956,0.6010088644885554,,,,,,,,
Football,PHSCD,8.618657430013021,0.9211205716389026,0.8752425916139578,0.8855646446198066,0.9217391304347826,0.5956154800777428,0.008879053957566,0.0205038354372727,0.0186415065542975,0.0122975092380268,0.0018614588641605,0.7583729892445997,12.0,0.0
Polblogs,Louvain,1.2754333019256592,0.6475169258271063,0.7660953758549304,0.8790887486229378,0.9509001636661212,0.426428568329627,,,,,,,,
